🚀 АНАЛИЗ ЛИМИТОВ EXMO
==================================================
🔍 Получаем настройки всех пар...
📊 Найдено пар: 240
================================================================================
🇪🇺 EUR ПАРЫ:
   ✅ XRP_EUR      | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.3%
   ✅ DOGE_EUR     | Мин.сумма:     0.01 | Мин.кол-во:            5 | Комиссия: 0.3%
   ✅ TRX_EUR      | Мин.сумма:     0.01 | Мин.кол-во:           25 | Комиссия: 0.3%
   ✅ USDT_EUR     | Мин.сумма:      0.1 | Мин.кол-во:            1 | Комиссия: 0.3%
   ✅ USDC_EUR     | Мин.сумма:      0.1 | Мин.кол-во:            1 | Комиссия: 0.3%
   ✅ ATOM_EUR     | Мин.сумма:      0.5 | Мин.кол-во:          0.1 | Комиссия: 0.3%
   ✅ BTC_EUR      | Мин.сумма:        1 | Мин.кол-во:      0.00002 | Комиссия: 0.3%
   ✅ ALGO_EUR     | Мин.сумма:        1 | Мин.кол-во:            2 | Комиссия: 0.3%
   ✅ ETH_EUR      | Мин.сумма:        1 | Мин.кол-во:       0.0005 | Комиссия: 0.3%
   ✅ LTC_EUR      | Мин.сумма:        1 | Мин.кол-во:        0.005 | Комиссия: 0.3%
   ✅ BCH_EUR      | Мин.сумма:        3 | Мин.кол-во:        0.003 | Комиссия: 0.3%

🇺🇸 USD ПАРЫ:
   ✅ ENA_USDT     | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ SAND_USDT    | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ MANEKI_USDT  | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ KMNO_USDT    | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ SAND_USDC    | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ DOGS_USDT    | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ HMSTR_USDT   | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ HMSTR_USDC   | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ENA_USDC     | Мин.сумма:  0.00001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ BCH_USD      | Мин.сумма:   0.0001 | Мин.кол-во:        0.003 | Комиссия: 0.3%
   ✅ SUN_USDT     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ JST_USDT     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ DEGEN_USDT   | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ SUN_USDC     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ JST_USDC     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ GOAT_USDT    | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ACT_USDT     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ AI16Z_USDT   | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ FARTCOIN_USDT | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ AIXBT_USDT   | Мин.сумма:   0.0001 | Мин.кол-во:           10 | Комиссия: 0.2%
   ✅ VIRTUAL_USDT | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ PENGU_USDT   | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ PENGU_USDC   | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ BIO_USDT     | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ALCH_USDT    | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ DEGEN_USDC   | Мин.сумма:   0.0001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ PUMP_USDT    | Мин.сумма:   0.0001 | Мин.кол-во:          0.1 | Комиссия: 0.2%
   ✅ YFI_USDT     | Мин.сумма:   0.0002 | Мин.кол-во:      0.00001 | Комиссия: 0.2%
   ✅ XRP_USD      | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.3%
   ✅ XRP_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ WIF_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ GRT_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ LDO_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ARB_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ IMX_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ OP_USDT      | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ RENDER_USDT  | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ AXS_USDT     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ WIF_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ GRT_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ LDO_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ARB_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ IMX_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ OP_USDC      | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ RENDER_USDC  | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ AXS_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ XRP_USDC     | Мин.сумма:    0.001 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ONDO_USDT    | Мин.сумма:    0.001 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ ONDO_USDC    | Мин.сумма:    0.001 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ TRX_USD      | Мин.сумма:     0.01 | Мин.кол-во:           25 | Комиссия: 0.3%
   ✅ ADA_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ADA_USD      | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.3%
   ✅ DOGE_USD     | Мин.сумма:     0.01 | Мин.кол-во:            5 | Комиссия: 0.3%
   ✅ DOT_USDT     | Мин.сумма:     0.01 | Мин.кол-во:         0.05 | Комиссия: 0.2%
   ✅ DOT_USD      | Мин.сумма:     0.01 | Мин.кол-во:         0.05 | Комиссия: 0.3%
   ✅ WIN10K_USDT  | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ BTT100K_USDT | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ HTX100K_USDT | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ NFT1M_USDT   | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ ETC_USD      | Мин.сумма:     0.01 | Мин.кол-во:         0.05 | Комиссия: 0.3%
   ✅ ETC_USDT     | Мин.сумма:     0.01 | Мин.кол-во:         0.05 | Комиссия: 0.2%
   ✅ EURT_USDT    | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ SHIB_USDT    | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ SHIB_USD     | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.3%
   ✅ TON_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ TRX_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ XLM_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            5 | Комиссия: 0.2%
   ✅ PEPE_USDT    | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ SUI_USDT     | Мин.сумма:     0.01 | Мин.кол-во:          0.5 | Комиссия: 0.2%
   ✅ FLOKI_USDT   | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ MANA_USDT    | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ POL_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ NOT_USDT     | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ GRAM_USDT    | Мин.сумма:     0.01 | Мин.кол-во:          100 | Комиссия: 0.2%
   ✅ GME_USDT     | Мин.сумма:     0.01 | Мин.кол-во:          100 | Комиссия: 0.2%
   ✅ ZRO_USDT     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ BLAST_USDT   | Мин.сумма:     0.01 | Мин.кол-во:           10 | Комиссия: 0.2%
   ✅ PEPE_USDC    | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ FLOKI_USDC   | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ POL_USDC     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ MANA_USDC    | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ ETC_USDC     | Мин.сумма:     0.01 | Мин.кол-во:         0.05 | Комиссия: 0.2%
   ✅ ADA_USDC     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ NOT_USDC     | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
   ✅ TON_USDC     | Мин.сумма:     0.01 | Мин.кол-во:            1 | Комиссия: 0.2%
   ✅ HTX100K_USDC | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ BTT100K_USDC | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ WIN10K_USDC  | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ NFT1M_USDC   | Мин.сумма:     0.01 | Мин.кол-во:         0.01 | Комиссия: 0.2%
   ✅ SHIB_USDC    | Мин.сумма:     0.01 | Мин.кол-во:         1000 | Комиссия: 0.2%
